game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_home_streak,home_away_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_home_streak,visitor_away_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent,home_last_10,visitor_last_10,home_wins_percent,visitor_wins_percent,wins_percent_diff,offensive_rating_diff,defensive_rating_diff,net_rating_diff,home_estimated_points,visitor_estimated_points,estimated_point_diff,ts_percent_diff,turnover_percent_diff,assist_percent_diff,steal_percent_diff,rebound_percent_diff,home_streak_extreme,visitor_streak_extreme,streak_extreme_diff,streak_diff,home_quality,visitor_quality,home_much_better,visitor_much_better,teams_evenly_matched,target
202410260CHI,2024-10-26 12:00:00+00:00,CHI,OKC,4,L,1,0,1,113.45,113.85,59.9,63.5,6.5,51.1,13.2,3,W,2,1,1,101.7,86.8,48.0,53.5,9.0,46.2,10.1,1-1,1-0,0.5,1.0,-0.5,11.75,-27.049999999999997,-15.299999999999997,100.125,107.775,-7.650000000000006,11.899999999999999,-3.0999999999999996,10.0,-2.5,4.899999999999999,0,0,0,-1,Promedio,Muy Fuerte,0,1,0,0
202410260MIN,2024-10-26 12:00:00+00:00,MIN,TOR,5,W,1,-1,1,111.35,114.05,57.9,53.5,3.6,51.5,14.8,5,L,1,1,-2,110.1,121.2,56.699999999999996,70.4,9.4,58.7,19.0,1-1,1-1,0.5,0.5,0.0,1.25,7.150000000000006,8.400000000000006,116.275,112.07499999999999,4.200000000000017,1.2000000000000028,4.199999999999999,-16.900000000000006,-5.800000000000001,-7.200000000000003,0,0,0,0,Promedio,Promedio,0,0,1,1
202410260MEM,2024-10-26 12:00:00+00:00,MEM,ORL,3,W,-1,0,-1,111.05,119.4,55.2,64.2,7.1,42.9,13.1,4,L,3,2,1,119.5,101.95,59.9,70.0,9.2,54.8,12.2,1-1,2-0,0.5,1.0,-0.5,-8.450000000000003,-17.450000000000003,-25.900000000000006,106.5,119.45,-12.950000000000003,-4.699999999999996,-0.9000000000000004,-5.799999999999997,-2.0999999999999996,-11.899999999999999,0,0,0,-4,Promedio,Muy Fuerte,0,1,0,1
202410260SAS,2024-10-26 12:30:00+00:00,SAS,HOU,4,W,-1,2,-1,107.3,118.1,56.39999999999999,76.9,5.9,51.0,16.4,5,L,1,1,2,113.8,107.1,51.6,48.2,8.8,51.6,10.5,0-1,1-1,0.0,0.5,-0.5,-6.5,-11.0,-17.5,107.19999999999999,115.94999999999999,-8.75,4.79999999999999,-5.899999999999999,28.700000000000003,-2.9000000000000004,-0.6000000000000014,0,0,0,-2,Muy Débil,Promedio,0,1,0,1
202410260PHO,2024-10-26 14:00:00+00:00,PHX,DAL,5,W,-1,0,-1,111.15,113.4,63.6,74.5,9.4,46.5,17.6,2,L,1,1,0,105.6,118.1,50.5,59.5,6.2,49.5,8.2,1-1,1-0,0.5,1.0,-0.5,5.550000000000011,4.699999999999989,10.25,114.625,109.5,5.125,13.100000000000001,-9.400000000000002,15.0,3.2,-3.0,0,0,0,-2,Promedio,Muy Fuerte,0,1,0,1
202410260LAL,2024-10-26 14:30:00+00:00,LAL,SAC,5,W,4,2,2,119.8,112.55,59.3,67.5,8.8,50.8,9.3,3,L,-2,-1,-1,113.4,115.3,59.0,55.3,6.9,47.5,8.5,2-0,0-1,1.0,0.0,1.0,6.3999999999999915,2.75,9.149999999999991,117.55,112.975,4.575000000000003,0.29999999999999716,-0.8000000000000007,12.200000000000003,1.9000000000000004,3.299999999999997,0,0,0,6,Muy Fuerte,Muy Débil,1,0,0,1
202410270IND,2024-10-27 07:30:00+00:00,IND,PHI,5,L,-1,1,-1,109.55,119.55,57.3,72.2,9.2,47.0,14.3,5,W,-2,-1,-1,108.0,119.5,51.800000000000004,54.7,7.5,42.9,11.1,1-1,0-2,0.5,0.0,0.5,1.5499999999999972,-0.04999999999999716,1.5,114.525,113.775,0.75,5.499999999999993,-3.200000000000001,17.5,1.6999999999999993,4.100000000000001,0,0,0,1,Promedio,Muy Débil,1,0,0,0
202410270POR,2024-10-27 10:00:00+00:00,POR,NOP,5,W,-4,-3,-1,98.7,116.45,50.8,64.3,8.1,47.3,15.7,5,L,3,2,1,108.05,101.55,55.300000000000004,66.9,12.8,47.5,11.2,0-2,2-0,0.0,1.0,-1.0,-9.349999999999994,-14.900000000000006,-24.25,100.125,112.25,-12.125,-4.500000000000007,-4.5,-2.6000000000000085,-4.700000000000001,-0.20000000000000284,0,0,0,-7,Muy Débil,Muy Fuerte,0,1,0,1
202410270BRK,2024-10-27 10:00:00+00:00,BKN,MIL,5,W,-4,0,-4,107.4,116.95,55.800000000000004,57.7,7.4,48.8,16.4,4,L,-1,-1,1,119.45,117.05,62.5,57.5,4.3,49.5,12.8,0-2,1-1,0.0,0.5,-0.5,-12.049999999999997,0.09999999999999432,-11.950000000000003,112.225,118.2,-5.9750000000000085,-6.699999999999996,-3.599999999999998,0.20000000000000284,3.1000000000000005,-0.7000000000000028,0,0,0,-3,Muy Débil,Promedio,0,1,0,1
202410270OKC,2024-10-27 11:00:00+00:00,OKC,ATL,4,W,3,1,2,100.6,84.85,48.6,50.1,11.1,46.6,9.0,3,L,2,2,0,119.5,115.15,61.9,64.1,11.2,46.8,13.2,2-0,2-0,1.0,1.0,0.0,-18.900000000000006,30.30000000000001,11.400000000000006,107.875,102.175,5.700000000000003,-13.299999999999997,4.199999999999999,-13.999999999999993,-0.09999999999999964,-0.19999999999999574,0,0,0,1,Muy Fuerte,Muy Fuerte,0,0,1,1
