game_id,date,home_team,visitor_team,home_game_number,home_result,home_streak,home_offensive_rating,home_defensive_rating,home_ts_percent,home_assist_percent,home_steal_percent,home_rebound_percent,home_turnover_percent,visitor_game_number,visitor_result,visitor_streak,visitor_offensive_rating,visitor_defensive_rating,visitor_ts_percent,visitor_assist_percent,visitor_steal_percent,visitor_rebound_percent,visitor_turnover_percent
202410270GSW,2024-10-27T12:30:00Z,GSW,LAC,4,L,1L,126.3,89.8,0.621,73.9,13.2,57.4,13.3,5,W,2W,108.9,107.6,0.567,69.7,6.2,54.5,16.5
202410280ORL,2024-10-28T11:00:00Z,ORL,IND,5,W,1W,114.9,107.3,0.585,65.6,9.3,53.0,13.5,6,L,3L,108.23,116.17,0.574,72.1,8.6,44.9,15.1
202410280NYK,2024-10-28T11:30:00Z,NYK,CLE,5,L,1L,125.1,124.9,0.639,44.9,3.7,51.2,11.7,6,W,4W,126.13,106.03,0.653,60.3,11.8,49.3,12.8
202410280MIA,2024-10-28T11:30:00Z,MIA,DET,3,W,2W,108.55,114.35,0.546,78.8,6.7,45.0,11.4,6,L,5L,110.77,118.83,0.573,62.2,4.4,51.9,15.1
202410280TOR,2024-10-28T11:30:00Z,TOR,DEN,6,L,2L,107.5,118.6,0.554,70.5,9.3,56.7,18.4,5,W,1W,98.7,108.8,0.476,70.0,12.4,49.8,11.3
202410280BOS,2024-10-28T11:30:00Z,BOS,MIL,6,W,6W,131.03,113.93,0.623,56.3,7.9,51.6,8.3,5,L,3L,114.43,117.27,0.61,58.5,5.3,48.9,14.2
202410280ATL,2024-10-28T11:30:00Z,ATL,WAS,4,L,2L,113.9,118.9,0.58,65.0,9.8,48.5,14.2,5,W,1W,105.15,124.0,0.512,66.8,7.2,46.9,12.3
202410280MEM,2024-10-28T12:00:00Z,MEM,CHI,4,L,1L,113.37,114.83,0.582,70.3,7.9,45.5,13.9,5,W,1W,103.27,109.07,0.555,66.3,6.1,51.8,15.6
202410280SAS,2024-10-28T12:00:00Z,SAS,HOU,5,L,1L,109.0,112.9,0.581,68.0,6.0,55.0,16.0,6,W,1W,111.77,108.3,0.519,50.6,9.3,48.1,10.3
202410280DAL,2024-10-28T12:30:00Z,DAL,UTA,3,W,1W,111.85,112.7,0.52,61.9,7.6,49.2,8.2,5,L,4L,101.25,121.9,0.504,57.3,7.2,48.6,15.8
