feature,coef
cat__home_last_10_7-1,-0.09679849651454367
cat__home_quality_Fuerte,0.09623678084869254
cat__visitor_quality_Débil,-0.08508949529019365
cat__home_quality_Débil,0.07906644532215909
cat__home_last_10_3-4,0.07511009015296112
cat__visitor_last_10_1-0,0.07404805312871171
cat__visitor_last_10_10-0,-0.07255205840114644
num__home_game_number,0.0715834474846263
cat__visitor_quality_Muy Débil,0.06988551601329857
num__home_away_streak,-0.05403976096769406
cat__visitor_last_10_9-1,0.050802579946715866
cat__visitor_last_10_1-9,0.04617737396562444
cat__visitor_last_10_5-4,-0.04557998639405992
num__teams_evenly_matched,0.04221979754959226
cat__visitor_last_10_0-0,0.03327553349158251
cat__home_quality_Promedio,-0.03229134325089042
cat__home_last_10_2-3,-0.027465688150472567
cat__visitor_last_10_2-1,-0.022252913462017236
cat__home_last_10_10-0,0.02204820810101144
cat__visitor_last_10_5-5,-0.014270875232872751
cat__visitor_last_10_2-8,0.0037375832098505936
